,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,imdb_id
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2771200
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3315342
2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3470600
3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3731562
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,369610
5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1219827
6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3183660
7,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3874544
8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,816692
9,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2277860
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5442430
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015381
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2543164
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4972582
14,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1431045
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3498820
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1392190
17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3748528
18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3717252
19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1211837
20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3717490
21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3385516
22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4846340
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2911666
24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,804507
25,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2948356
26,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1355644
27,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2582802
28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3741834
29,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2094766
