imdb_ids,Act_Adven_West,Mus_Bio_His_War_Doc,Sh_Ani_Fam,Fant_SF,Mys_Cri_Hor_Thr,Romance,Drama,Comedy,Other
113101,0,0,0,0,1,0,0,1,0.0
425473,0,0,1,0,0,0,1,0,0.0
76759,1,0,0,1,0,0,0,0,0.0
266543,1,0,1,0,0,0,0,1,0.0
411267,0,0,0,0,1,0,0,0,0.0
17136,0,0,0,1,0,0,1,0,0.0
314412,0,0,0,0,0,1,1,0,0.0
325980,1,0,0,1,0,0,0,0,0.0
266697,1,0,0,0,1,0,0,0,0.0
105695,1,0,0,0,0,0,1,0,0.0
338013,0,0,0,1,0,1,1,0,0.0
245712,0,0,0,0,1,0,1,0,0.0
298203,0,1,0,0,0,0,1,0,0.0
445620,0,1,0,0,1,0,1,0,0.0
88846,0,0,0,1,0,0,1,1,0.0
249462,0,1,0,0,0,1,1,1,0.0
407304,1,0,0,1,1,0,0,0,0.0
116996,0,0,0,1,0,0,0,1,0.0
112471,0,0,0,0,0,1,1,0,0.0
209144,0,0,0,0,1,0,0,0,0.0
83658,0,0,0,1,1,0,1,0,0.0
381681,0,0,0,0,0,1,1,0,0.0
82971,1,0,0,0,0,0,0,0,0.0
86960,1,0,0,0,1,0,0,1,0.0
23037,0,1,1,0,0,0,0,0,0.0
52561,0,0,0,0,1,0,1,0,0.0
436488,0,0,1,0,0,0,0,1,0.0
185125,0,0,0,0,0,0,1,1,0.0
110413,0,0,0,0,1,0,1,0,0.0
315543,0,0,0,0,0,1,1,0,0.0
75314,0,0,0,0,1,0,1,0,0.0
88763,1,0,1,1,0,0,0,1,0.0
108394,0,1,0,0,1,1,1,0,0.0
100405,0,0,0,0,0,1,0,1,0.0
118715,0,0,0,0,1,0,0,1,0.0
120737,1,0,0,1,0,0,1,0,0.0
77869,1,0,1,1,0,0,1,0,0.0
86961,0,0,0,1,0,1,1,0,0.0
80668,0,1,1,0,0,0,0,0,0.0
82631,0,0,0,0,0,0,1,0,0.0
84549,0,0,0,0,0,0,1,0,0.0
119698,1,0,1,1,0,0,0,0,0.0
54205,0,1,0,0,0,0,0,0,0.0
61589,0,1,0,0,0,0,0,0,0.0
22913,0,0,0,0,1,0,1,0,0.0
107048,0,0,0,1,0,1,1,1,0.0
246578,0,0,0,1,1,0,1,0,0.0
190332,1,0,0,1,0,1,1,0,0.0
83511,1,0,0,0,1,0,1,1,0.0
79945,1,0,0,1,1,0,0,0,0.0
335266,0,0,0,0,0,0,1,0,0.0
84726,1,0,0,1,1,0,1,0,0.0
468569,1,0,0,0,1,0,1,0,0.0
329767,0,0,0,0,0,1,1,1,0.0
88170,1,0,0,1,1,0,0,0,0.0
119472,1,0,0,0,1,0,1,1,0.0
12,0,1,1,0,0,0,0,0,0.0
240772,0,0,0,0,1,0,0,0,0.0
99487,0,0,0,1,0,1,1,0,0.0
349903,0,0,0,0,1,0,0,0,0.0
96874,1,0,1,1,0,0,0,1,0.0
82100,0,0,0,0,0,1,1,1,0.0
272152,0,0,0,1,0,0,1,0,0.0
289043,0,0,0,1,1,0,1,0,0.0
83686,0,0,0,0,0,1,1,1,0.0
95250,1,0,0,0,0,1,1,0,1.0
387564,0,0,0,0,1,0,0,0,0.0
101889,0,0,0,1,0,0,1,1,0.0
181689,1,0,0,1,1,0,0,0,0.0
452624,0,1,0,0,1,1,1,0,0.0
248103,0,0,0,0,0,0,1,0,0.0
35446,0,1,0,0,0,0,0,1,0.0
117731,1,0,0,1,1,0,1,0,0.0
120844,1,0,0,1,1,0,0,0,0.0
70379,0,0,0,0,1,0,1,0,0.0
287624,0,1,0,0,0,0,1,0,0.0
88247,1,0,0,1,1,0,0,0,0.0
441909,0,0,0,0,1,1,1,1,0.0
17668,0,1,0,0,0,0,0,0,0.0
32976,0,0,0,0,1,1,1,0,0.0
75902,0,1,0,0,0,0,1,0,0.0
82222,0,1,0,0,0,0,1,0,0.0
20697,0,1,0,0,0,0,1,0,0.0
26138,0,0,0,1,1,0,1,0,0.0
86216,1,0,0,0,1,1,1,0,0.0
80117,0,0,0,0,0,0,1,0,0.0
10323,0,0,0,1,1,0,1,0,0.0
92005,1,0,0,0,1,0,1,0,0.0
289635,0,0,0,0,1,1,1,0,0.0
53291,0,0,0,0,0,1,0,1,0.0
110632,0,0,0,0,1,0,1,0,0.0
99674,1,0,0,0,1,0,1,0,0.0
24216,1,0,0,1,1,0,1,0,0.0
55312,0,0,0,0,0,0,1,1,0.0
180748,1,0,0,0,1,0,0,1,0.0
380599,0,0,1,0,1,0,1,0,0.0
65651,0,0,0,0,0,1,1,1,0.0
78771,0,0,0,0,0,1,1,1,0.0
26029,1,0,0,0,1,0,0,0,0.0
118819,0,0,0,0,1,1,1,0,0.0
114558,1,0,0,1,1,0,1,0,0.0
449088,1,0,0,1,0,0,0,0,0.0
853060,0,1,0,0,0,0,0,0,1.0
44706,1,0,0,0,1,0,1,0,0.0
34583,0,1,0,0,0,1,1,0,0.0
101410,0,0,0,0,1,0,1,1,0.0
425598,0,1,0,0,0,0,0,1,0.0
89015,0,0,0,0,0,1,1,0,0.0
119643,0,0,0,1,1,1,1,0,0.0
496806,0,0,0,0,1,0,0,0,0.0
54135,0,1,0,0,1,0,0,1,0.0
354899,0,0,0,1,0,1,1,1,0.0
53221,1,0,0,0,0,1,1,0,0.0
324133,0,0,0,0,1,0,1,0,0.0
38787,0,0,0,0,1,1,1,0,1.0
38890,0,1,0,0,1,0,1,0,0.0
