,Act_Adven_West,Mus_Bio_His_War_Doc,Sh_Ani_Fam,Fant_SF,Mys_Cri_Hor_Thr,Romance,Drama,Comedy
220440,0,1,0,0,0,0,0,0
136227,0,0,0,0,0,0,0,0
1686303,0,0,0,0,1,0,0,1
1103253,0,0,0,0,0,0,1,0
459149,1,0,1,0,0,0,1,0
348572,0,0,0,0,0,0,0,1
1391140,0,0,0,0,1,0,0,1
1590157,0,0,0,0,0,0,1,1
330707,0,1,0,0,0,0,0,0
205190,0,0,1,0,0,0,1,0
114134,0,0,0,0,0,1,1,0
105406,0,0,0,0,0,0,1,0
1348318,0,0,0,0,0,1,1,0
1153543,0,0,0,0,1,0,1,0
119550,0,0,1,1,0,0,0,0
1784656,0,1,0,0,0,0,0,0
92497,0,0,0,0,1,0,1,0
300270,0,0,0,0,0,0,1,0
450140,0,0,0,0,1,0,1,0
100758,1,0,1,1,0,0,0,1
1368027,0,1,0,0,0,0,0,0
67309,0,0,0,0,1,0,0,0
80469,0,1,0,0,0,0,1,0
810861,0,1,0,0,0,0,0,0
27697,0,0,0,0,1,0,1,0
5544414,1,0,0,1,1,0,1,0
76179,0,0,0,0,0,0,1,0
914791,0,0,0,0,1,0,0,0
102652,0,0,0,0,1,0,1,0
113434,0,0,1,1,0,0,0,1
371405,0,0,0,0,0,1,1,1
1614408,1,0,0,1,0,0,0,0
1596280,0,1,0,0,0,0,0,0
341350,0,0,0,0,1,0,0,0
1181935,0,0,0,0,1,0,1,0
1239455,0,0,0,0,1,0,1,0
737264,0,1,0,0,0,0,0,0
261311,0,0,0,0,0,1,1,0
1587707,0,1,0,0,1,0,0,1
83097,1,0,0,0,0,1,0,1
298345,0,0,0,0,0,0,0,1
1763280,0,0,0,0,1,0,1,1
1479388,0,0,0,0,0,0,1,0
66618,0,0,0,0,0,0,1,1
875123,0,1,0,0,0,0,0,0
1187064,0,0,0,1,1,0,0,0
113949,1,0,0,1,1,0,0,0
75740,1,0,0,0,1,0,0,0
82971,1,0,0,0,0,0,0,0
195360,0,0,0,1,0,0,0,1
58279,0,0,0,1,1,0,1,0
18213,0,0,1,0,0,0,0,1
39607,1,0,0,0,1,0,0,0
60121,1,0,0,0,1,1,1,0
68981,0,0,0,0,0,0,0,1
1327701,1,0,0,1,0,0,0,0
82619,1,0,0,0,0,0,1,0
63097,0,0,0,0,1,0,0,0
112619,0,0,0,0,0,0,1,0
4102,0,0,1,0,0,0,0,1
1580000,0,0,1,0,0,1,1,0
1776798,0,1,0,0,0,0,0,1
119951,0,1,0,0,0,0,1,1
22017,1,0,0,0,0,0,1,0
1107809,0,0,1,0,0,0,1,1
46365,0,1,1,0,0,0,0,0
449000,0,0,0,0,0,1,1,1
159391,0,0,1,0,1,0,1,0
216522,0,0,0,1,0,0,0,1
427000,1,0,0,0,1,0,1,0
444759,0,0,0,0,1,0,0,0
796375,0,0,0,0,1,1,0,1
105604,0,1,0,0,1,0,1,0
22905,0,0,0,0,0,1,1,0
245704,1,1,0,0,0,0,1,1
128451,0,0,0,0,1,0,0,0
54665,1,1,1,1,0,1,0,1
1366344,0,0,0,0,0,0,0,1
46924,0,0,1,0,0,1,0,1
2011183,0,0,0,1,0,0,0,1
456111,0,0,0,0,1,0,1,0
808532,0,1,0,0,1,0,0,0
1586261,0,0,0,0,1,0,0,0
149171,0,0,0,0,0,0,1,0
